profileUrl,instagramID,profileName,Avatar,fullName,isVerified,bio,Etinicity,Gender,Num words Used in Bio,Profiles Mentioned,Emoji used,Emoji Number,followersCount,followingCount,postsCount,Follow Ratio,Follow Ratio Quality,ER,ER Esperado,Razão do ER em relacao ao esperado da categoria,Profile Class,Performance,isBusinessAccount,businessCategory,joinedRecently,isPrivate,Profile Image Title,imageUrl,website,query,timestamp,mailFound
https://www.instagram.com/magazineluiza/,1232164836,magazineluiza,,Lu do Magalu (em 🏠),TRUE,"🙎🏻‍♀️ Influenciadora Virtual 3D
👩🏻‍💻 Especialista Digital do #Magalu
📸 Criadora de Conteúdo",,,10,,🙎🏻‍♀️👩🏻‍💻📸,10,5545518,216,1917,"25673,69444",High Quality (Followers +10x higher then following and ≥5 Followers),"0,10%","1,97%","0,05",Mega or celebrity influencers (+1M),Bad Performance,TRUE,Personal Goods & General Merchandise Stores,Old User,FALSE,240263097_686374842319423_8219863972285414264_n.jpg,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/s320x320/240263097_686374842319423_8219863972285414264_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_ohc=ByvLF0sIdUIAX-_hFi_&edm=ABfd0MgBAAAA&ccb=7-4&oh=c32d479eb7afc50a8bbf9831865912d3&oe=612C7152&_nc_sid=7bff83,http://maga.lu/BaixeOApp,https://www.instagram.com/magazineluiza,2021-08-24T18:04:15.942Z,
https://www.instagram.com/lilmiquela/,3089598226,lilmiquela,,Miquela,TRUE,"#BlackLivesMatter
🤖 19-year-old Robot living in LA 💖 
(still figuring the rest out, one post at a time)
Check out my new video 😘⬇️",,,21,,🤖💖😘⬇️,5,3029375,1907,1112,"1588,555322",High Quality (Followers +10x higher then following and ≥5 Followers),"2,00%","1,97%","1,02",Mega or celebrity influencers (+1M),Good Performance,FALSE,,Old User,FALSE,169233132_1850655255110233_2997517200994432002_n.jpg,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/s320x320/169233132_1850655255110233_2997517200994432002_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_ohc=0iRvI_cYcvwAX8A_kcX&edm=ABfd0MgBAAAA&ccb=7-4&oh=fab7a3f721781d215d7371dfa597e003&oe=612C01DF&_nc_sid=7bff83,https://smarturl.it/MiquelaTikTok?iqid=m.ig,https://www.instagram.com/lilmiquela,2021-08-24T18:04:20.263Z,
https://www.instagram.com/barbie/,24903158,barbie,,Barbie,TRUE,,,,0,,,0,1976621,235,1710,"8411,153191",High Quality (Followers +10x higher then following and ≥5 Followers),"0,99%","1,97%","0,50",Mega or celebrity influencers (+1M),Bad Performance,TRUE,Creators & Celebrities,Old User,FALSE,239745451_241124024533479_1778282270675046612_n.jpg,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/s320x320/239745451_241124024533479_1778282270675046612_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_ohc=cGiSKk6L3NwAX-jb8Qd&edm=ABfd0MgBAAAA&ccb=7-4&oh=6b4cf38dd2ae49ddc4568586420093f6&oe=612C79E7&_nc_sid=7bff83,http://barbie.com/,https://www.instagram.com/barbie,2021-08-24T18:04:23.575Z,
https://www.instagram.com/guggimon/,8439602246,guggimon,,Guggimon,TRUE,"Usually sexier than I am scary. Usually ☠️ 
Fashion horror artist & @janky destroyer
Management: @superplastic",,,14,,☠️,2,1367081,268,98,"5101,048507",High Quality (Followers +10x higher then following and ≥5 Followers),"1,44%","1,97%","0,73",Mega or celebrity influencers (+1M),Bad Performance,TRUE,Creators & Celebrities,Old User,FALSE,81989103_2476912859197341_7256462240046383104_n.jpg,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/s320x320/81989103_2476912859197341_7256462240046383104_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_ohc=MMmHMj17tskAX-8DNDV&edm=ABfd0MgBAAAA&ccb=7-4&oh=59d389ecefb9262b86f8638921fe04a0&oe=612C6FF2&_nc_sid=7bff83,https://bit.ly/guggijbalvin,https://www.instagram.com/guggimon,2021-08-24T18:04:32.171Z,
https://www.instagram.com/janky/,8007162789,janky,,Janky,TRUE,"Will twerk for nuggz & sneakers
🚨WARNING FAM🚨 My feed iz NSFW
Sorry 4 partying… @guggimon my BFFz
💰 money: @superplastic",,,17,,🚨🚨💰,3,780566,217,111,"3597,078341",High Quality (Followers +10x higher then following and ≥5 Followers),"2,34%","2,05%","1,14",Macro influencer (100K-1M),Good Performance,TRUE,Creators & Celebrities,Old User,FALSE,82529055_1628525747306701_9112364668604645376_n.jpg,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/s320x320/82529055_1628525747306701_9112364668604645376_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_ohc=8bki7VW1xKwAX-_TFbM&edm=ABfd0MgBAAAA&ccb=7-4&oh=6a8fdd1682776a692e213f615dacc201&oe=612C21BB&_nc_sid=7bff83,https://bit.ly/jankyxjbalvin,https://www.instagram.com/janky,2021-08-24T18:04:34.862Z,
https://www.instagram.com/knoxfrost/,11169603473,knoxfrost,,KNOX FROST ❄,TRUE,"📍Atlanta, 21, the universal adapter",,,4,,📍,1,729766,522,148,"1398,019157",High Quality (Followers +10x higher then following and ≥5 Followers),"1,09%","2,05%","0,53",Macro influencer (100K-1M),Bad Performance,FALSE,,Old User,FALSE,97077018_574607486789567_6804389818013843456_n.jpg,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/s320x320/97077018_574607486789567_6804389818013843456_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_ohc=aBb5XQVwsugAX-okmkh&edm=ABfd0MgBAAAA&ccb=7-4&oh=9e68d354d2d8a10cfc183ea3e2097ae2&oe=612B486B&_nc_sid=7bff83,https://discord.gg/PxxS88gQV4,https://www.instagram.com/knoxfrost,2021-08-24T18:04:38.097Z,
https://www.instagram.com/anymalu_real/,2162058626,anymalu_real,,O Surreal Mundo de Any Malu,TRUE,"🦄 ʏᴏᴜᴛᴜʙᴇʀ / ᴀɴɪᴍᴀᴅᴀ / ғᴜʟᴇɪʀᴀ.
🐦 Twitter: @anymalu_real
📨 comercial@comboestudio.com.br
😍 Produtos Malu",,,10,,🦄ʏᴏᴜᴛᴜʙᴇʀᴀɴɪᴍᴀᴅᴀғᴜʟᴇɪʀᴀ🐦📨😍,26,517795,407,2828,"1272,223587",High Quality (Followers +10x higher then following and ≥5 Followers),"0,63%","2,05%","0,31",Macro influencer (100K-1M),Bad Performance,FALSE,,Old User,FALSE,140366021_719597658690128_2264835211419574332_n.jpg,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/s320x320/140366021_719597658690128_2264835211419574332_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_ohc=oQ1_d3SkDlcAX-crYi5&edm=ABfd0MgBAAAA&ccb=7-4&oh=a3b2940ae3c69449a7b81a68098d57f6&oe=612C15B0&_nc_sid=7bff83,https://bit.ly/3gqaQx8,https://www.instagram.com/anymalu_real,2021-08-24T18:04:41.506Z,comercial@comboestudio.com.br
https://www.instagram.com/thalasya_/,2999492342,thalasya_,,Thalasya Pov,FALSE,1'st Indonesian Artificial Intelligence,,,3,,,0,486873,3,208,162291,High Quality (Followers +10x higher then following and ≥5 Followers),"1,01%","2,05%","0,49",Macro influencer (100K-1M),Bad Performance,FALSE,,Old User,FALSE,81964058_182671449604364_5790786061667926016_n.jpg,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/s320x320/81964058_182671449604364_5790786061667926016_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_ohc=8mXPSJMrfEsAX_2dKKs&edm=ABfd0MgBAAAA&ccb=7-4&oh=064bd197ec1f7b821327fb0ce0316998&oe=612B556B&_nc_sid=7bff83,https://youtu.be/OdPBnIjMKrA,https://www.instagram.com/thalasya_,2021-08-24T18:04:45.222Z,
https://www.instagram.com/anna_cattish/,1425116,anna_cattish,,Anna Cattish,FALSE,"Friend of @nana.the.shrimp
Part of @honkfu visual label
My digital sketchbooks 👇🏻🌈",,,9,,👇🏻🌈,3,483713,589,785,"821,2444822",High Quality (Followers +10x higher then following and ≥5 Followers),"3,01%","2,05%","1,47",Macro influencer (100K-1M),Good Performance,FALSE,,Old User,FALSE,18579552_138051040073020_1667045904735010816_a.jpg,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/s320x320/18579552_138051040073020_1667045904735010816_a.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_ohc=iBCy3kkA1h0AX9aigtX&edm=ABfd0MgBAAAA&ccb=7-4&oh=91170d28d75c2680b6f389319f32a42a&oe=612BEFEE&_nc_sid=7bff83,https://cattish.gumroad.com/,https://www.instagram.com/anna_cattish,2021-08-24T18:04:48.179Z,
https://www.instagram.com/noonoouri/,6648697241,noonoouri,,noonoouri,TRUE,"digital character. activist. vegan.
🌈🌍🌱✊🏾 #NeverBeSilent
@imgmodels worldwide
weibo: 努努noonoouri
tec power by @xsens3d",,,9,,🌈🌍🌱✊🏾努努,7,379300,236,1217,"1607,20339",High Quality (Followers +10x higher then following and ≥5 Followers),"2,18%","2,05%","1,06",Macro influencer (100K-1M),Good Performance,FALSE,,Old User,FALSE,140420421_775645583308642_203464214646316544_n.jpg,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/s320x320/140420421_775645583308642_203464214646316544_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_ohc=xnd6roPvFE4AX-j2o21&edm=ABfd0MgBAAAA&ccb=7-4&oh=04de2fd1eff3a780165843ce9607965b&oe=612C4FFB&_nc_sid=7bff83,,https://www.instagram.com/noonoouri,2021-08-24T18:04:52.111Z,
